Fecha,Gasto/Ingreso/Ahorro,Categoria,Subcategoria,Descripcion,Monto,,,Banco,Ubicación,Balance,Activos,,Categoria,Valor,,,,
21/2/2026,Gasto,TC,Moto,Mantenimiento," $  155,000.00 ",,,,,,,,,,,,,
21/2/2026,Gasto,TC,Moto ,Tanqueada," $  35,528.00 ",,,,,,,,,,,,,
21/2/2026,Gasto,Personal,Moto ,Lavada," $  19,000.00 ",,,,,,,,,,,,,
23/2/2026,Gasto,TC,Comida,Hamburguesa," $  39,400.00 ",,,,,,,,,,,,,
23/2/2026,Ingreso,Ahorro Davi,Liquidez,Madre," $  40,000.00 ",,,,,,,,,,,,,
23/2/2026,Gasto,Personal,Comida,Ensalada," $  26,000.00 ",,,,,,,,,,,,,
25/2/2026,Ingreso,Ahorro Lulo,Liquidez,Davivienda," $  38,840.00 ",,,,,,,,,,,,,
25/2/2026,Gasto,TC,Ajuste,No idea," $  17,406.90 ",,,,,,,,,,,,,
25/2/2026,Gasto,TC,Comida,Pollo," $  50,500.00 ",,,,,,,,,,,,,
25/2/2026,Ingreso,Ahorro Lulo,Liquidez,Salario," $  3,542,820.00 ",,,,,,,,,,,,,
25/2/2026,Gasto,Personal,Servicios,Internet," $  99,900.00 ",,,,,,,,,,,,,
25/2/2026,Gasto,Personal,Ajuste,No idea," $  13,840.00 ",,,,,,,,,,,,,
26/2/2026,Gasto,Personal,Servicios,Tercer Piso," $  16,030.00 ",,,,,,,,,,,,,
26/2/2026,Gasto,TC,WoW,Suscripción ," $  63,004.02 ",,,,,,,,,,,,,
26/2/2026,Gasto,Personal,Terapia,Locura," $  38,000.00 ",,,,,,,,,,,,,
26/2/2026,Gasto,Personal,Laura,Lui," $  102,000.00 ",,,,,,,,,,,,,
26/2/2026,Ingreso,Ahorro Lulo,Liquidez,Laura," $  102,000.00 ",,,,,,,,,,,,,
27/2/2026,Gasto,Personal,Mensual,Tigo," $  49,900.00 ",,,,,,,,,,,,,
27/2/2026,Ingreso,Ahorro Lulo,Liquidez,Salario ," $  996,015.00 ",,,,,,,,,,,,,
27/2/2026,Gasto,Personal,Laura,Huevos," $  20,600.00 ",,,,,,,,,,,,,
27/2/2026,Gasto,Personal,Laura,Uñas," $  50,000.00 ",,,,,,,,,,,,,
27/2/2026,Gasto,Personal,Servicios,Madre," $  126,960.00 ",,,,,,,,,,,,,
27/2/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  127,000.00 ",,,,,,,,,,,,,
28/2/2026,Gasto,Personal,Fulvo,Cancha," $  18,400.00 ",,,,,,,,,,,,,
28/2/2026,Gasto,TC,Personal ,Comida," $  65,700.00 ",,,,,,,,,,,,,
28/2/2026,Gasto,TC,Personal,Vino," $  20,950.00 ",,,,,,,,,,,,,
1/3/2026,Gasto,Personal,Corte,Corte," $  23,000.00 ",,,,,,,,,,,,,
1/3/2026,Gasto,TC,Personal,Comida," $  50,600.00 ",,,,,,,,,,,,,
1/3/2026,Gasto,TC,Moto,Parqueadero," $  8,500.00 ",,,,,,,,,,,,,
1/3/2026,Gasto,TC,Personal,Yiyos," $  69,900.00 ",,,,,,,,,,,,,
2/3/2026,Gasto,Personal,Laura,Endulzante," $  28,000.00 ",,,,,,,,,,,,,
3/3/2026,Gasto,Deuda,Apartamento,Cuota," $  653,006.00 ",,,,,,,,,,,,,
3/3/2026,Ingreso,Ahorro Lulo,Liquidez,Rendimiento, $  67.02 ,,,,,,,,,,,,,
3/3/2026,Ahorro,Ahorro Lulo,Bolsillo,Rendimiento," $  14,230.46 ",,,,,,,,,,,,,
3/3/2026,Gasto,TC,Personal,Comida," $  88,820.00 ",,,,,,,,,,,,,
5/3/2026,Gasto,TC,Personal,Comida," $  37,000.00 ",,,,,,,,,,,,,
5/3/2026,Gasto,TC,Suscripción ,Spotify ," $  18,500.00 ",,,,,,,,,,,,,
6/3/2026,Gasto,TC,Moto,Tanqueada," $  33,372.00 ",,,,,,,,,,,,,
6/3/2026,Gasto,Personal,Comida ,Cocheros," $  20,400.00 ",,,,,,,,,,,,,
